FIPS,crime,arrest_count_white,arrest_count_black,arrest_count_asian,arrest_count_hispanic
05035,property,229.0,409.0,1.0,0.0
05035,violent,34.0,184.0,0.0,0.0
05035,weapon,6.0,66.0,0.0,0.0
05037,drug,54.0,33.0,0.0,0.0
05037,property,36.0,18.0,0.0,0.0
05037,violent,14.0,25.0,0.0,0.0
05037,weapon,0.0,3.0,0.0,0.0
05039,drug,21.0,63.0,0.0,0.0
05039,property,9.0,16.0,0.0,0.0
05039,violent,6.0,9.0,0.0,0.0
05039,weapon,3.0,0.0,0.0,0.0
05041,drug,81.0,51.0,0.0,0.0
05041,property,13.0,21.0,0.0,0.0
05041,violent,8.0,13.0,0.0,0.0
05041,weapon,0.0,2.0,0.0,0.0
05043,drug,249.0,162.0,0.0,0.0
05043,property,87.0,46.0,0.0,0.0
05043,violent,12.0,14.0,0.0,0.0
05043,weapon,1.0,4.0,0.0,0.0
05045,drug,1207.0,606.0,6.0,0.0
05045,property,460.0,172.0,5.0,0.0
05045,violent,77.0,43.0,1.0,0.0
05045,weapon,14.0,3.0,0.0,0.0
05047,drug,84.0,0.0,0.0,0.0
05047,property,49.0,2.0,0.0,0.0
05047,violent,26.0,1.0,0.0,0.0
05047,weapon,2.0,0.0,0.0,0.0
05049,drug,84.0,0.0,0.0,0.0
05049,property,32.0,0.0,0.0,0.0
05049,violent,12.0,0.0,0.0,0.0
05051,drug,159.0,31.0,6.0,0.0
05051,property,144.0,12.0,0.0,0.0
05051,violent,109.0,22.0,0.0,0.0
05051,weapon,16.0,2.0,0.0,0.0
05053,drug,96.0,12.0,0.0,0.0
05053,property,39.0,1.0,0.0,0.0
05053,violent,13.0,0.0,0.0,0.0
05053,weapon,1.0,0.0,0.0,0.0
05055,drug,547.0,37.0,0.0,0.0
05055,property,531.0,29.0,1.0,0.0
05055,violent,39.0,1.0,0.0,0.0
05055,weapon,11.0,0.0,0.0,0.0
05057,drug,93.0,138.0,0.0,0.0
05057,property,104.0,109.0,0.0,0.0
05057,violent,12.0,30.0,0.0,0.0
05057,weapon,1.0,4.0,0.0,0.0
05061,drug,222.0,120.0,0.0,0.0
05061,property,45.0,24.0,0.0,0.0
05061,violent,1.0,4.0,0.0,0.0
05061,weapon,1.0,3.0,0.0,0.0
05063,drug,333.0,24.0,0.0,0.0
05063,property,242.0,22.0,0.0,0.0
05063,violent,45.0,8.0,0.0,0.0
05063,weapon,7.0,0.0,0.0,0.0
